scheduler,trials,frames,users_per_macro,include_mobility,include_orientation,include_nlos,nlos_profile,access_model,resource_control,mean_delta_used,std_delta_used,delta_switch_rate,mean_center_pool_size,mean_edge_pool_size,frac_delta_0_5,frac_delta_0_6667,frac_delta_0_8,adaptive_delta_enabled,adaptive_ofdma_enabled,adaptive_power_enabled,multi_user_ofdma_enabled,admission_control,admission_min_sinr_db,admission_min_sum_rate_retention,max_users_per_region,max_users_per_pool,max_center_users_per_pool,max_edge_users_per_pool,min_subcarriers_per_user,mean_scheduled_users_per_frame,mean_scheduled_users_per_region,mean_scheduled_users_per_active_region,max_scheduled_users_in_region_observed,fraction_active_regions_serving_1_user,fraction_active_regions_serving_2_users,fraction_active_regions_serving_3plus_users,mean_effective_subcarriers_per_scheduled_user,p5_effective_subcarriers_per_scheduled_user,max_relative_region_power_budget_error,adaptive_max_users_per_region,adaptive_min_subcarriers_per_user,mean_sinr_db,median_sinr_db,avg_rate_bpshz,p5_rate_bpshz,coverage_continuity_10db,coverage_continuity_20db,outage_probability_10db,outage_probability_20db,avg_outage_duration_frames,p95_outage_duration_frames,link_opportunity_mean_sinr_db,link_opportunity_median_sinr_db,link_opportunity_avg_rate_bpshz,link_opportunity_continuity_10db,link_opportunity_continuity_20db,link_opportunity_outage_probability_10db,link_opportunity_outage_probability_20db,link_opportunity_avg_outage_duration_20db,scheduled_link_continuity_10db,scheduled_link_continuity_20db,service_avg_rate_bpshz_all_users,beam_switching_rate,fairness_over_time,mean_served_fraction,mean_user_throughput_bpshz,p5_user_throughput_bpshz,worst_user_throughput_bpshz,avg_time_between_services_frames,mean_service_gap_frames,p95_service_gap_frames,mean_longest_service_gap_frames,p95_longest_service_gap_frames,starvation_probability_gap10,edge_served_frame_ratio,center_served_frame_ratio,edge_coverage_continuity_10db,edge_coverage_continuity_20db,edge_outage_probability_10db,edge_outage_probability_20db,center_coverage_continuity_10db,center_coverage_continuity_20db,edge_frame_fraction,time_s,experiment,case,seed,wall_time_s
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,7.8449333333333335,1.1207047619047619,1.122516402116402,4.0,0.9090313636710503,0.06513112710808129,0.025837509220868415,76.47655386916396,38.0,1.5419764230904954e-16,9.0,16.0,23.900303914335783,-300.0,78.42628813864185,0.0,0.028592592592592593,0.014648677248677243,0.9714074074074074,0.9853513227513228,38.40772974756641,75.0,23.427544808701338,-300.0,63.64630943896439,0.11451005291005292,0.06308148148148147,0.8854899470899471,0.9369185185185185,19.643858714944976,0.14550280157745954,0.07469891306936723,14.648785762581813,0.014943157443157445,0.043310445225430906,0.18678412698412694,14.648785762581813,0.0,0.0,5.639092909383418,4.54665341403241,11.0,11.940873015873017,23.0,0.6003174603174604,0.18378288065676535,0.18833926906269666,0.03720979432432979,0.016673605351055918,0.9627902056756702,0.9833263946489441,0.02292738782955106,0.014121857860088766,0.45396825396825397,1314.2756702899933,main,combined_mobility_orientation_nlos,1,1314.3805391788483
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.284133333333333,1.183447619047619,1.1854364021164019,4.0,0.8591941596927225,0.10407498791748276,0.036730852389794726,71.7179293213801,24.0,1.5419764230904954e-16,9.0,16.0,25.32965226590196,1.926921193325505,143.29020576095658,0.0,0.05479470899470899,0.024265608465608463,0.945205291005291,0.9757343915343916,31.768096468561584,75.0,22.92232527814479,-300.0,60.037379242445446,0.12026878306878305,0.06644338624338623,0.8797312169312169,0.9335566137566138,26.30324985092427,0.2728565169481698,0.12924786584914225,28.262742140107914,0.014943157443157445,0.08516273615518616,0.19724126984126983,28.26274214010791,0.0,0.0,10.616527241858675,8.864509570216644,40.0,34.488015873015875,75.0,0.9561111111111111,0.20295409498863806,0.19568241375977666,0.08197480129987218,0.03136546134127783,0.9180251987001278,0.9686345386587222,0.03536102891448744,0.020788574702305128,0.45396825396825397,1365.6125411987305,main,combined_mobility_orientation_nlos,1,1365.721202135086
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.380577777777777,1.1972253968253967,1.1992859259259259,4.0,0.8614516826495052,0.08851397756467326,0.05003433978582148,69.58398519327758,23.0,1.5419764230904954e-16,9.0,16.0,25.65863086960936,3.296629450812385,158.27795233099545,0.0,0.06721904761904762,0.02995026455026455,0.9327809523809524,0.9700497354497355,32.7426867164339,75.0,24.308047605457336,-300.0,71.99678902741843,0.12843915343915344,0.06801481481481482,0.8715608465608465,0.9319851851851851,27.95511823520076,0.3055235508173705,0.14520098169124301,31.582397381364537,0.014943157443157445,0.08595536208521953,0.19953756613756612,31.58239738136454,0.0,0.0,12.496430027707973,9.828196866148689,44.0,35.798809523809524,75.0,0.9520634920634921,0.2418739762959197,0.16836658072645877,0.11435730752290355,0.04880040732525691,0.8856426924770965,0.9511995926747431,0.03206224750941102,0.01728933841548264,0.45396825396825397,1375.9004623889923,main,combined_mobility_orientation_nlos,1,1376.0062215328217
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.655466666666667,1.236495238095238,1.2386732275132275,4.0,0.8530702312212245,0.07749345000381554,0.06943631877495994,69.11151334031672,23.0,1.5419764230904954e-16,9.0,16.0,27.340946610271285,4.418556051742482,163.3365166990766,0.0,0.07316825396825397,0.031069841269841268,0.926831746031746,0.9689301587301588,41.27102677364103,75.0,23.382187840383956,-300.0,61.13660227264425,0.12472169312169312,0.06340846560846561,0.8752783068783069,0.9365915343915344,31.457172305942564,0.30282055878873543,0.12880601881940248,33.66080418424526,0.014943157443157445,0.09356618777324724,0.2060825396825397,33.66080418424526,0.0,0.0,13.400716668635209,13.593245520265251,55.0,39.04968253968254,75.0,0.981984126984127,0.23502945363280778,0.18284147602846448,0.11560478767118257,0.047256027477306325,0.8843952123288175,0.9527439725226937,0.03947291021349723,0.019190585624268498,0.45396825396825397,1397.9392638206482,main,combined_mobility_orientation_nlos,1,1398.0457916259766
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,7.844266666666667,1.1206095238095237,1.1223957671957672,4.0,0.9085729546870827,0.06590276099757093,0.025524284315346365,77.09891442298975,38.0,1.5419764230904954e-16,9.0,16.0,23.89653571902326,-300.0,78.67761598722736,0.0,0.02873015873015872,0.014893121693121689,0.9712698412698413,0.9851068783068783,38.119896810122434,75.0,23.151325376592794,-300.0,62.69288764714149,0.11449417989417988,0.06286243386243386,0.8855058201058201,0.9371375661375662,19.800894354387925,0.14536544890633404,0.07558019066496247,14.694480964319238,0.014907764907764907,0.04356051959812525,0.18676825396825394,14.694480964319238,0.0,0.0,5.630984077570698,4.550053285968028,11.0,11.84468253968254,23.0,0.5918253968253968,0.18265751853674617,0.18939265069380085,0.03798843677013638,0.017594515131376998,0.9620115632298636,0.982405484868623,0.02274957867529616,0.013680742296376091,0.42634920634920637,1268.280086517334,main,combined_mobility_orientation_nlos,2,1268.3608074188232
max_sinr,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.637377777777777,1.2339111111111112,1.2359767195767195,4.0,0.8532512622248223,0.07878572064452952,0.06796301713064822,69.65075820336419,23.0,1.5419764230904954e-16,9.0,16.0,27.40287096118945,4.457984261293445,165.62153885755745,0.0,0.07336507936507936,0.03174814814814814,0.9266349206349207,0.9682518518518518,41.18458837826889,75.0,23.40669062953549,-300.0,61.48869256018971,0.12466772486772489,0.06346878306878308,0.8753322751322751,0.9365312169312169,31.60567102349832,0.3054263213439986,0.1298973353716302,34.060376172610134,0.014907764907764907,0.09422630406882879,0.20565185185185184,34.06037617261013,0.0,0.0,13.635685848609654,13.550046029711728,55.0,39.072698412698415,75.0,0.9797619047619047,0.2340060860115907,0.181949696562738,0.11587462997093538,0.04874780857569827,0.8841253700290647,0.9512521914243017,0.039325202505606796,0.018964301157298073,0.42634920634920637,1347.1854610443115,main,combined_mobility_orientation_nlos,2,1347.2664980888367
proportional_fair,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.296222222222223,1.185174603174603,1.1870634920634922,4.0,0.8586244610904097,0.10383309381795984,0.03754244509163053,72.03600032143144,24.0,1.5419764230904954e-16,9.0,16.0,25.215750505920536,2.286983462385064,144.63755681966578,0.0,0.05499047619047618,0.02493439153439153,0.9450095238095239,0.9750656084656084,31.505350976168497,75.0,22.823242200807922,-300.0,59.75968595015034,0.12001904761904762,0.06677354497354497,0.8799809523809524,0.9332264550264551,26.23918476643856,0.2751248636082075,0.13096051285841304,28.570126501315247,0.014907764907764907,0.08656310785103011,0.19752910052910053,28.570126501315247,0.0,0.0,10.640259773638265,8.826264577853301,40.0,34.53634920634921,75.0,0.9565079365079365,0.20272508689059915,0.19523166721782514,0.0829223587443046,0.032693967878329434,0.9170776412556954,0.9673060321216705,0.03480159099774318,0.020702019080524672,0.42634920634920637,1328.2381744384766,main,combined_mobility_orientation_nlos,2,1328.3204646110535
omn_pf_a,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,adaptive_ofdma_power_fixed_delta,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.384977777777777,1.1978539682539682,1.1999087830687831,4.0,0.8612672652812047,0.0883740747335487,0.050358659985246614,69.59529741018329,23.0,3.0839528461809903e-16,9.0,16.0,24.704368295680432,2.782506217284692,158.19803245124712,0.0,0.06681587301587301,0.03448359788359789,0.933184126984127,0.9655164021164021,31.30921007480612,75.0,22.399528150282602,-300.0,67.12014194059843,0.12247407407407405,0.07175026455026455,0.8775259259259259,0.9282497354497354,27.15020582500232,0.30320204118969574,0.1653244007831842,31.583023490282734,0.014943157443157445,0.0864202056015221,0.19964232804232804,31.583023490282738,0.0,0.0,12.524431430935785,9.791923978198108,44.0,35.78753968253968,75.0,0.9507936507936507,0.24162433280023918,0.16862732236637612,0.11635251133737987,0.05992742190895697,0.8836474886626201,0.940072578091043,0.02981511055865325,0.0168826456013422,0.45396825396825397,2567.8729243278503,main,combined_mobility_orientation_nlos,1,2567.9549157619476
omn_pf,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,8.374355555555555,1.1963365079365078,1.1982666666666666,4.0,0.8616067454311913,0.08879449580954077,0.049598758759267975,69.94283075845306,23.0,1.5419764230904954e-16,9.0,16.0,25.67303121820806,3.4636112538952086,159.75594465080036,0.0,0.06741798941798942,0.03045079365079365,0.9325820105820106,0.9695492063492064,32.94703153655291,75.0,24.352326156992234,-300.0,72.14675800277024,0.1283227513227513,0.06805185185185185,0.8716772486772487,0.9319481481481482,28.074306662416323,0.3072244694575737,0.14520819150092404,31.853644824272756,0.014907764907764907,0.08677340224131234,0.19938941798941798,31.853644824272756,0.0,0.0,12.489390274148596,9.783491956757874,44.0,35.791984126984126,75.0,0.9488095238095238,0.24145918477291656,0.16709182994999905,0.11458497170662527,0.05023046262773312,0.8854150282933747,0.9497695373722669,0.03185908263739235,0.016675255752284547,0.42634920634920637,1334.168918132782,main,combined_mobility_orientation_nlos,2,1334.2603044509888
rr1,300.0,75.0,42.0,1.0,1.0,1.0,stress,dynamic_multi_user_ofdma,fixed_equal_ofdma_uniform_power,0.6666666666666666,0.0,0.0,113.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,variable_resource_sinr_aware,10.0,0.55,9.0,7.0,7.0,2.0,16.0,7.840577777777778,1.1200825396825396,1.121953439153439,4.0,0.9101320801510941,0.06370625679637272,0.026161663052533177,76.84954623525478,38.0,1.5419764230904954e-16,9.0,16.0,23.684961642695413,-300.0,77.27911359807212,0.0,0.028326984126984124,0.014530158730158725,0.9716730158730159,0.9854698412698413,38.450412881915774,75.0,23.27405962753375,-300.0,62.67105764098226,0.1139037037037037,0.06284126984126984,0.8860962962962963,0.9371587301587302,19.77922948073702,0.14332480561762964,0.07372475292676274,14.426497637224015,0.014957099957099958,0.04299215182176533,0.18668042328042328,14.426497637224013,0.0,0.0,5.623409564934344,4.538265321185425,11.0,11.884603174603175,23.0,0.5947619047619047,0.18446372828476756,0.188024924184292,0.037401476852765486,0.01711797371711319,0.9625985231472345,0.9828820262828868,0.021726759433176656,0.013344347619597621,0.47619047619047616,1269.1758079528809,main,combined_mobility_orientation_nlos,3,1269.2561030387878
